 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
34,45,1197.500,686.789,24.142,1194,683,7,8,0.970,10.000,1194,683,126.870,7.000,1.444,0.692,0.928
35,56,827.821,692.339,27.799,824,687,8,10,0.911,10.440,827,687,106.699,8.000,1.343,0.744,0.862
36,45,1240.233,695.344,25.799,1236,691,9,8,0.850,10.630,1236,692,138.814,6.656,1.676,0.597,0.841
37,35,876.043,731.643,29.213,873,727,7,9,0.515,9.487,874,727,108.435,7.000,1.363,0.734,0.714
38,63,520.198,750.056,40.042,513,744,12,11,0.494,14.142,513,755,45.000,10.004,1.491,0.671,0.696
39,74,1226.581,765.189,30.971,1222,760,9,10,0.969,11.662,1223,770,59.036,9.000,1.210,0.827,0.931
40,42,616.167,765.381,23.556,612,762,9,6,0.951,9.849,612,763,156.038,6.000,1.623,0.616,0.903
41,38,575.000,767.500,22.971,572,763,6,9,0.905,9.849,573,763,113.962,5.814,1.820,0.549,0.884
42,47,578.394,778.351,28.385,574,774,8,9,0.733,10.000,574,775,126.870,7.906,1.325,0.755,0.797
43,61,722.615,806.172,29.799,718,802,9,10,0.863,10.440,720,802,106.699,9.000,1.068,0.936,0.871
44,39,1083.885,807.936,22.728,1080,805,8,6,0.949,8.602,1080,810,35.538,6.000,1.316,0.760,0.907
45,88,774.489,820.864,41.456,769,816,11,12,0.643,13.601,772,827,53.973,11.000,1.217,0.822,0.822
46,43,528.360,845.500,26.142,525,841,7,9,0.791,10.817,526,850,56.310,6.325,1.942,0.515,0.843
47,61,521.811,854.369,34.627,516,850,12,8,0.639,13.601,516,850,143.973,7.906,1.972,0.507,0.792
48,38,959.842,862.053,22.728,956,859,8,6,0.924,10.000,956,859,143.130,6.000,1.689,0.592,0.927
49,32,814.781,870.156,21.556,812,866,6,8,0.865,8.944,813,874,63.435,5.578,1.747,0.572,0.853
50,39,891.782,874.423,26.971,889,869,6,11,0.674,11.402,890,869,105.255,5.295,2.535,0.395,0.804
51,63,553.770,875.167,31.213,549,871,10,9,0.813,11.402,550,879,37.875,9.000,1.262,0.792,0.840
52,28,562.679,874.821,19.314,560,872,6,6,0.943,7.810,560,878,50.194,6.000,1.197,0.836,0.889
53,35,899.186,878.300,22.728,896,874,6,8,0.851,10.000,896,882,53.130,5.800,1.894,0.528,0.886
54,49,849.602,880.418,24.971,846,876,7,9,0.988,10.296,847,876,119.055,7.000,1.497,0.668,0.907
55,45,544.567,881.500,31.213,538,879,11,7,0.580,12.083,538,879,155.556,7.000,1.980,0.505,0.776
56,62,729.129,890.790,28.385,725,886,9,9,0.967,11.402,726,886,127.875,8.485,1.355,0.738,0.912
57,54,1148.222,898.056,34.385,1143,894,12,8,0.574,14.422,1143,902,33.690,7.442,2.289,0.437,0.750
58,147,1106.867,920.405,73.255,1099,910,16,21,0.344,24.698,1100,931,58.241,13.974,2.175,0.460,0.622
59,56,988.107,989.232,27.213,984,984,8,10,0.950,10.770,986,994,68.199,7.778,1.421,0.704,0.889
60,30,937.667,1024.333,20.728,934,1022,8,5,0.877,8.544,934,1023,159.444,5.000,1.724,0.580,0.870
