file	clusters	identified	TP	FP	FN	accuracy	single	identified	TP	FP	FN	accuracy
/home/janci/skola/4/microscopy/dataset/images/51278622-Concentracion_1en920250224_121650.png	4	8	3	5	1	33.33%	48	40	30	10	18	51.72%
/home/janci/skola/4/microscopy/dataset/images/520f5db5-Concentracion_1en920250221_120207.png	8	9	2	7	6	13.33%	123	119	95	24	28	64.63%
/home/janci/skola/4/microscopy/dataset/images/52fbfa65-Concentracion_1en920250225_120847.png	19	12	3	9	16	10.71%	195	157	124	33	71	54.39%
/home/janci/skola/4/microscopy/dataset/images/54163ea8-Concentracion_1en920250214_142246.png	14	14	2	12	12	7.69%	113	117	68	49	45	41.98%
/home/janci/skola/4/microscopy/dataset/images/5773f5ec-Concentracion_1en920250221_120802.png	8	6	2	4	6	16.67%	86	113	65	48	21	48.51%
/home/janci/skola/4/microscopy/dataset/images/5452578c-Concentracion_1en920250214_111914.png	7	6	3	3	4	30.00%	47	67	44	23	3	62.86%
/home/janci/skola/4/microscopy/dataset/images/56a32e5f-Concentracion_1en920250206_112941.png	2	23	1	22	1	4.17%	37	319	24	295	13	7.23%
/home/janci/skola/4/microscopy/dataset/images/5837a2d5-Concentracion_1en920250206_114844.png	0	18	0	18	0	0.00%	28	331	0	331	28	0.00%
/home/janci/skola/4/microscopy/dataset/images/58560ac7-Concentracion_1en920250224_115610.png	1	6	1	5	0	16.67%	42	33	24	9	18	47.06%
/home/janci/skola/4/microscopy/dataset/images/58922639-Concentracion_1en920250224_112155.png	5	10	2	8	3	15.38%	83	92	69	23	14	65.09%
/home/janci/skola/4/microscopy/dataset/images/58db324d-Concentracion_1en920250224_113038.png	10	5	0	5	10	0.00%	84	67	46	21	38	43.81%
/home/janci/skola/4/microscopy/dataset/images/59fb582b-Concentracion_1en920250221_114522.png	10	9	4	5	6	26.67%	108	109	92	17	16	73.60%
/home/janci/skola/4/microscopy/dataset/images/5b0cb3a8-Concentracion_1en920250221_120228.png	6	3	0	3	6	0.00%	97	108	82	26	15	66.67%
/home/janci/skola/4/microscopy/dataset/images/5a6752a1-Concentracion_1en920250217_125012.png	9	7	2	5	7	14.29%	133	179	116	63	17	59.18%
/home/janci/skola/4/microscopy/dataset/images/5ee66214-Concentracion_1en920250214_141614.png	15	20	8	12	7	29.63%	112	131	85	46	27	53.80%
/home/janci/skola/4/microscopy/dataset/images/60df06df-Concentracion_1en920250225_120520.png	23	12	3	9	20	9.38%	195	173	135	38	60	57.94%
/home/janci/skola/4/microscopy/dataset/images/60e21f81-Concentracion_1en920250214_133353.png	8	19	1	18	7	3.85%	101	124	70	54	31	45.16%
